show_id,date,venue,city,state,country,tour_name,setlist,rating,reviews,venue_id,permalink
1322243351,2000-01-14,Starksboro Village Meeting House,Starksboro,VT,USA,Not Part of a Tour,,,,1023,https://phish.net/setlists/mike-gordon-january-14-2000-starksboro-village-meeting-house-starksboro-vt-usa.html
1332987387,2000-01-28,Higher Ground,Winooski,VT,USA,Not Part of a Tour,,,,278,https://phish.net/setlists/guest-appearance-january-28-2000-higher-ground-winooski-vt-usa.html
1324420189,2000-02-01,The Palladium,Worcester,MA,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,1045,https://phish.net/setlists/jon-fishman-february-01-2000-the-palladium-worcester-ma-usa.html
1391717422,2000-02-01,Lovango Cay,"St, John",,U.S. Virgin Islands,Not Part of a Tour,,,,1302,https://phish.net/setlists/trey-anastasio-february-01-2000-lovango-cay-st-john-us-virgin-islands.html
1324420292,2000-02-03,The Odeon,Cleveland,OH,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,1046,https://phish.net/setlists/jon-fishman-february-03-2000-the-odeon-cleveland-oh-usa.html
1324420331,2000-02-04,Newport Music Hall,Columbus,OH,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,311,https://phish.net/setlists/jon-fishman-february-04-2000-newport-music-hall-columbus-oh-usa.html
1317707537,2000-02-05,Carnegie Hall,New York,NY,USA,Not Part of a Tour,,,,969,https://phish.net/setlists/trey-anastasio-february-05-2000-carnegie-hall-new-york-ny-usa.html
1324420361,2000-02-05,Mississippi Nights,St. Louis,MO,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,106,https://phish.net/setlists/jon-fishman-february-05-2000-mississippi-nights-st-louis-mo-usa.html
1520779032,2000-02-05,Carnegie Hall,New York,NY,USA,Not Part of a Tour,,,,969,https://phish.net/setlists/trey-anastasio-february-05-2000-carnegie-hall-new-york-ny-usa-2.html
1579050431,2000-02-05,Carnegie Hall,New York,NY,USA,Not Part of a Tour,,,,969,https://phish.net/setlists/.html
1579823070,2000-02-05,Carnegie Hall,New York,NY,USA,Not Part of a Tour,,,,969,https://phish.net/setlists/rufus-wainwright-february-05-2000-carnegie-hall-new-york-ny-usa.html
1579823233,2000-02-05,Carnegie Hall,New York,NY,USA,Not Part of a Tour,,,,969,https://phish.net/setlists/philip-glass-february-05-2000-carnegie-hall-new-york-ny-usa.html
1324420400,2000-02-06,Liberty Hall,Lawrence,KS,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,108,https://phish.net/setlists/jon-fishman-february-06-2000-liberty-hall-lawrence-ks-usa.html
1324420484,2000-02-07,The Union Bar,Iowa City,IA,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,1047,https://phish.net/setlists/jon-fishman-february-07-2000-the-union-bar-iowa-city-ia-usa.html
1324420526,2000-02-09,The Cabooze,Minneapolis,MN,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,74,https://phish.net/setlists/jon-fishman-february-09-2000-the-cabooze-minneapolis-mn-usa.html
1324420840,2000-02-10,"The Great Hall, University of Wisconsin",Madison,WI,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,343,https://phish.net/setlists/jon-fishman-february-10-2000-the-great-hall-university-of-wisconsin-madison-wi-usa.html
1324420944,2000-02-11,The Canopy Club,Urbana,IL,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,1048,https://phish.net/setlists/jon-fishman-february-11-2000-the-canopy-club-urbana-il-usa.html
1324421000,2000-02-12,House of Blues,Chicago,IL,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,1049,https://phish.net/setlists/jon-fishman-february-12-2000-house-of-blues-chicago-il-usa.html
1324421084,2000-02-14,Electra,Cincinnati,OH,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,1050,https://phish.net/setlists/jon-fishman-february-14-2000-electra-cincinnati-oh-usa.html
1324421119,2000-02-15,The Vogue Theatre,Indianapolis,IN,USA,Fish - Jazz Mandolin Project Winter 2000 Tour,,,,857,https://phish.net/setlists/jon-fishman-february-15-2000-the-vogue-theatre-indianapolis-in-usa.html
