show_id,date,artist_name,venue,city,state,country,tour_name,setlist,rating,reviews,venue_id,permalink
1582152248,2020-02-19,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,Not Part of a Tour,"1: Jam, Jam, Sunshine Superman, Jam, Windora Bug",,,1481,https://phish.net/setlists/phish-february-19-2020-moon-palace-cancun-quintana-roo-mexico.html
1560881087,2020-02-20,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2020 Mexico,"1: Torn and Frayed, Ghost, Free, Shipwreck, Free, Shake Your Coconuts, Victim, The Moma Dance, Gotta Jibboo, Shade, The Landlady, Destiny Unbound, Steam, Crosseyed and Painless, Run Like an Antelope, Cavern, Beneath a Sea of Stars Part 1, Say It To Me S.A.N.T.O.S. | e: You Enjoy Myself",,,1481,https://phish.net/setlists/phish-february-20-2020-moon-palace-cancun-quintana-roo-mexico.html
1560881115,2020-02-21,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2020 Mexico,"1: Turtle in the Clouds, Shafty, Plasma, Shafty, Plasma, The Lizards, Bathtub Gin, Shafty, Bathtub Gin, Blaze On, Sea and Sand, Possum | 2: Sigma Oasis, Also Sprach Zarathustra, Drift While You're Sleeping, Lifeboy, I Always Wanted It This Way, No Men In No Man's Land, Piper, Good Times Bad Times | e: Sand, Weekapaug Groove, Shafty",,,1481,https://phish.net/setlists/phish-february-21-2020-moon-palace-cancun-quintana-roo-mexico.html
1560881138,2020-02-22,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2020 Mexico,"1: Willin', Tube, Evening Song, Set Your Soul Free, You Sexy Thing, 46 Days, Waste, Your Pet Cat, Tweezer, Manteca, Makisupa Policeman, Twist | 2: Energy, Soul Planet, Waves, Carini, Chalk Dust Torture, Have Mercy, A Life Beyond The Dream, Harry Hood | e: Sweet Jane, Tweezer Reprise",,,1481,https://phish.net/setlists/phish-february-22-2020-moon-palace-cancun-quintana-roo-mexico.html
1560881161,2020-02-23,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2020 Mexico,"1: Crowd Control, Farmhouse, Breath and Burning, Divided Sky, Meat, Everything's Right, The Squirming Coil, Wingsuit, David Bowie | 2: Simple, Golden Age, Fuego, Undermind, Back on the Train, Passing Through | e: Rise/Come Together, The Horse, Silent in the Morning, Fee, Funky Bitch, More",,,1481,https://phish.net/setlists/phish-february-23-2020-moon-palace-cancun-quintana-roo-mexico.html
1579824184,2020-07-14,Phish,Matthew Knight Arena,Eugene,OR,USA,2020 Summer Tour,,,,1312,https://phish.net/setlists/phish-july-14-2020-matthew-knight-arena-eugene-or-usa.html
1579824242,2020-07-15,Phish,Matthew Knight Arena,Eugene,OR,USA,2020 Summer Tour,,,,1312,https://phish.net/setlists/phish-july-15-2020-matthew-knight-arena-eugene-or-usa.html
1579824266,2020-07-17,Phish,Gorge Amphitheatre,George,WA,USA,2020 Summer Tour,,,,248,https://phish.net/setlists/phish-july-17-2020-gorge-amphitheatre-george-wa-usa.html
1579824286,2020-07-18,Phish,Gorge Amphitheatre,George,WA,USA,2020 Summer Tour,,,,248,https://phish.net/setlists/phish-july-18-2020-gorge-amphitheatre-george-wa-usa.html
1579824304,2020-07-19,Phish,Gorge Amphitheatre,George,WA,USA,2020 Summer Tour,,,,248,https://phish.net/setlists/phish-july-19-2020-gorge-amphitheatre-george-wa-usa.html
1579824328,2020-07-21,Phish,Lake Tahoe Outdoor Arena at Harveys,Stateline,NV,USA,2020 Summer Tour,,,,960,https://phish.net/setlists/phish-july-21-2020-lake-tahoe-outdoor-arena-at-harveys-stateline-nv-usa.html
1579824347,2020-07-22,Phish,Lake Tahoe Outdoor Arena at Harveys,Stateline,NV,USA,2020 Summer Tour,,,,960,https://phish.net/setlists/phish-july-22-2020-lake-tahoe-outdoor-arena-at-harveys-stateline-nv-usa.html
1579824378,2020-07-24,Phish,The Forum,Inglewood,CA,USA,2020 Summer Tour,,,,1314,https://phish.net/setlists/phish-july-24-2020-the-forum-inglewood-ca-usa.html
1579824400,2020-07-25,Phish,Chase Center,San Francisco,CA,USA,2020 Summer Tour,,,,1494,https://phish.net/setlists/phish-july-25-2020-chase-center-san-francisco-ca-usa.html
1579824421,2020-07-26,Phish,Chase Center,San Francisco,CA,USA,2020 Summer Tour,,,,1494,https://phish.net/setlists/phish-july-26-2020-chase-center-san-francisco-ca-usa.html
1579824442,2020-07-29,Phish,Walmart Arkansas Music Pavilion,Rogers,AR,USA,2020 Summer Tour,,,,1495,https://phish.net/setlists/phish-july-29-2020-walmart-arkansas-music-pavilion-rogers-ar-usa.html
1579824464,2020-07-31,Phish,Oak Mountain Amphitheatre,Pelham,AL,USA,2020 Summer Tour,,,,418,https://phish.net/setlists/phish-july-31-2020-oak-mountain-amphitheatre-pelham-al-usa.html
1579824486,2020-08-01,Phish,Piedmont Park,Atlanta,GA,USA,2020 Summer Tour,,,,1496,https://phish.net/setlists/phish-august-01-2020-piedmont-park-atlanta-ga-usa.html
1579824511,2020-08-02,Phish,Piedmont Park,Atlanta,GA,USA,2020 Summer Tour,,,,1496,https://phish.net/setlists/phish-august-02-2020-piedmont-park-atlanta-ga-usa.html
1579824553,2020-08-04,Phish,Ascend Amphitheater,Nashville,TN,USA,2020 Summer Tour,,,,1329,https://phish.net/setlists/phish-august-04-2020-ascend-amphitheater-nashville-tn-usa.html
1579824575,2020-08-05,Phish,Ascend Amphitheater,Nashville,TN,USA,2020 Summer Tour,,,,1329,https://phish.net/setlists/phish-august-05-2020-ascend-amphitheater-nashville-tn-usa.html
1579824593,2020-08-07,Phish,Ruoff Music Center,Noblesville,IN,USA,2020 Summer Tour,,,,1497,https://phish.net/setlists/phish-august-07-2020-ruoff-music-center-noblesville-in-usa.html
1579824611,2020-08-08,Phish,Ruoff Music Center,Noblesville,IN,USA,2020 Summer Tour,,,,1497,https://phish.net/setlists/phish-august-08-2020-ruoff-music-center-noblesville-in-usa.html
1579824628,2020-08-09,Phish,Ruoff Music Center,Noblesville,IN,USA,2020 Summer Tour,,,,1497,https://phish.net/setlists/phish-august-09-2020-ruoff-music-center-noblesville-in-usa.html
1579824645,2020-08-11,Phish,Giant Center,Hershey,PA,USA,2020 Summer Tour,1: I Never Needed You Like This Before,,,1498,https://phish.net/setlists/phish-august-11-2020-giant-center-hershey-pa-usa.html
1579824667,2020-08-12,Phish,Giant Center,Hershey,PA,USA,2020 Summer Tour,,,,1498,https://phish.net/setlists/phish-august-12-2020-giant-center-hershey-pa-usa.html
1579824688,2020-08-14,Phish,Atlantic City Beach,Atlantic City,NJ,USA,2020 Summer Tour,,,,1499,https://phish.net/setlists/phish-august-14-2020-atlantic-city-beach-atlantic-city-nj-usa.html
1579824704,2020-08-15,Phish,Atlantic City Beach,Atlantic City,NJ,USA,2020 Summer Tour,,,,1499,https://phish.net/setlists/phish-august-15-2020-atlantic-city-beach-atlantic-city-nj-usa.html
1579824724,2020-08-16,Phish,Atlantic City Beach,Atlantic City,NJ,USA,2020 Summer Tour,,,,1499,https://phish.net/setlists/phish-august-16-2020-atlantic-city-beach-atlantic-city-nj-usa.html
1579824743,2020-09-04,Phish,Dick's Sporting Goods Park,Commerce City,CO,USA,2020 Summer Tour,,,,961,https://phish.net/setlists/phish-september-04-2020-dicks-sporting-goods-park-commerce-city-co-usa.html
