show_id,date,artist_name,venue,city,state,country,tour_name,setlist,rating,reviews,venue_id,permalink
1442433689,2016-01-01,Phish,Madison Square Garden,New York,NY,USA,2015/2016 New Year's Run,"1: Stealing Time From the Faulty Plan, Heavy Things, How Many People Are You, Stash, Undermind, Rift, Wingsuit, Ocelot, Lawn Boy, Run Like an Antelope | 2: Down with Disease, Dirt, Halfway to the Moon, Theme From the Bottom, Light, Fuego, Slave to the Traffic Light | e: Farmhouse",,,157,https://phish.net/setlists/phish-january-01-2016-madison-square-garden-new-york-ny-usa.html
1442433705,2016-01-02,Phish,Madison Square Garden,New York,NY,USA,2015/2016 New Year's Run,"1: Your Pet Cat, Pink Sock, AC/DC Bag, Two In The Pink, One In The Stink, NICU, Pedro Peed in the Ravioli Bucket, It's Ice, Horn, Divided Sky, Axilla, Maze, Train Song, Julius | 2: Tweezer, Sand, Limb By Limb, Suzy Greenberg, Harry Hood, You Enjoy Myself | e: The Lizards, Tweezer Reprise",,,157,https://phish.net/setlists/phish-january-02-2016-madison-square-garden-new-york-ny-usa.html
1441828833,2016-01-15,Phish,BarcelÃ³ Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,2016 Mexico,"1: A Song I Heard the Ocean Sing, My Soul, Martian Monster, Ya Mar, Halley's Comet, Fuego, The Wedge, Theme From the Bottom, Free, David Bowie | 2: Drowned, What's the Use?, Sand, Ghost, Also Sprach Zarathustra, Wolfman's Brother, Possum, Shine a Light | e: Rock and Roll",,,1349,https://phish.net/setlists/phish-january-15-2016-barcel-maya-beach-riviera-maya-quintana-roo-mexico.html
1441828849,2016-01-16,Phish,BarcelÃ³ Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,2016 Mexico,"1: Camel Walk, 555, Rift, Cities, Light, Simple, Timber (Jerry the Mule), Wading in the Velvet Sea, Reba, Chalk Dust Torture | 2: Golden Age, Prince Caspian, Halfway to the Moon, Joy, 46 Days, Twenty Years Later, Julius, Harry Hood | e: Character Zero",,,1349,https://phish.net/setlists/phish-january-16-2016-barcel-maya-beach-riviera-maya-quintana-roo-mexico.html
1441828867,2016-01-17,Phish,BarcelÃ³ Maya Beach,"Riviera Maya, Quintana Roo",,Mexico,2016 Mexico,"1: Mexican Cousin, The Curtain With, Sample in a Jar, Yarmouth Road, The Landlady, Army of One, Kill Devil Falls, Bathtub Gin, Funky Bitch, The Moma Dance, Saw It Again | 2: Down with Disease, Roggae, Crosseyed and Painless, Farmhouse, Mike's Song, Bug, Weekapaug Groove, Slave to the Traffic Light | e: The Ocean",,,1349,https://phish.net/setlists/phish-january-17-2016-barcel-maya-beach-riviera-maya-quintana-roo-mexico.html
1454706845,2016-06-22,Phish,Xcel Energy Center,St. Paul,MN,USA,2016 Summer Tour,"1: Pigtail, Wolfman's Brother, Daniel Saw the Stone, The Dogs, Undermind, Dear Prudence, Stash, Round Room, Horn, Uncle Pen, Halfway to the Moon, Walls of the Cave | 2: Mike's Song, I Am Hydrogen, Weekapaug Groove, Bouncing Around the Room, Ghost, The Line, Simple, I Found a Reason, No Men In No Man's Land, Billy Breathes, Bathtub Gin | e: Water in the Sky, Character Zero",,,1366,https://phish.net/setlists/phish-june-22-2016-xcel-energy-center-st-paul-mn-usa.html
1454706912,2016-06-24,Phish,Wrigley Field,Chicago,IL,USA,2016 Summer Tour,"1: Sample in a Jar, Chalk Dust Torture, Martian Monster, Rift, Yarmouth Road, Sand, Miss You, The Wedge, Free, Blaze On | 2: Down with Disease, Fuego, Twist, Twenty Years Later, Waste, Also Sprach Zarathustra, Backwards Down the Number Line, Loving Cup | e: Space Oddity, Run Like an Antelope",,,1367,https://phish.net/setlists/phish-june-24-2016-wrigley-field-chicago-il-usa.html
1454706928,2016-06-25,Phish,Wrigley Field,Chicago,IL,USA,2016 Summer Tour,"1: The Moma Dance, AC/DC Bag, 555, Waiting All Night, Heavy Things, Happy Birthday to You, 46 Days, I Didn't Know, Divided Sky, Cavern, Good Times Bad Times | 2: Carini, Tweezer, Fluffhead, Piper, Steam, Wading in the Velvet Sea, Harry Hood, Tweezer Reprise | e: I Am the Walrus",,,1367,https://phish.net/setlists/phish-june-25-2016-wrigley-field-chicago-il-usa.html
1454706967,2016-06-26,Phish,Klipsch Music Center,Noblesville,IN,USA,2016 Summer Tour,"1: My Friend, My Friend, Kill Devil Falls, Camel Walk, A Song I Heard the Ocean Sing, Poor Heart, Tube, Halley's Comet, Maze, Lawn Boy, Breath and Burning, Saw It Again, Theme From the Bottom, First Tube | 2: Punch You in the Eye, Back on the Train, Light, Golden Age, Boogie On Reggae Woman, Wingsuit, Shade, Possum | e: Rock and Roll",,,1611,https://phish.net/setlists/phish-june-26-2016-klipsch-music-center-noblesville-in-usa.html
1454707046,2016-06-28,Phish,The Mann Center for the Performing Arts,Philadelphia,PA,USA,2016 Summer Tour,"1: Wilson, Funky Bitch, No Men In No Man's Land, Roggae, Nellie Kane, Gumbo, Birds of a Feather, Sleep Again, Things People Do, Limb By Limb, Split Open and Melt, The Oh Kee Pa Ceremony, Suzy Greenberg | 2: Fuego, Runaway Jim, Gotta Jibboo, Breath and Burning, Mind Left Body Jam, Timber (Jerry the Mule), Slave to the Traffic Light, You Enjoy Myself | e: Quinn the Eskimo (The Mighty Quinn)",,,213,https://phish.net/setlists/phish-june-28-2016-the-mann-center-for-the-performing-arts-philadelphia-pa-usa.html
1454707067,2016-06-29,Phish,The Mann Center for the Performing Arts,Philadelphia,PA,USA,2016 Summer Tour,"1: Wolfman's Brother, Your Pet Cat, Blaze On, Waking Up Dead, Llama, Devotion To a Dream, Reba, Mike's Song, Horn, Farmhouse, Weekapaug Groove | 2: Crosseyed and Painless, Friends, Down with Disease, What's the Use?, Meatstick, The Line, Tide Turns, Backwards Down the Number Line, Dem Bones | e: Dear Prudence, Harry Hood",,,213,https://phish.net/setlists/phish-june-29-2016-the-mann-center-for-the-performing-arts-philadelphia-pa-usa.html
1454707102,2016-07-01,Phish,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,2016 Summer Tour,"1: Stealing Time From the Faulty Plan, The Birds, NICU, Cities, David Bowie, Free, Uncle Pen, Halfway to the Moon, Let's Go, Waiting All Night, Bathtub Gin, Golgi Apparatus, The Squirming Coil | 2: Sand, Carini, Chalk Dust Torture, Prince Caspian, Bug, Shine a Light, My Sweet One, Sleeping Monkey, Also Sprach Zarathustra, Fire | e: Character Zero",,,220,https://phish.net/setlists/phish-july-01-2016-saratoga-performing-arts-center-saratoga-springs-ny-usa.html
1454707121,2016-07-02,Phish,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,2016 Summer Tour,"1: Crowd Control, 555, Seven Below, Back on the Train, Army of One, Divided Sky, Martian Monster, Rift, Water in the Sky, 46 Days, Walls of the Cave | 2: No Men In No Man's Land, Fuego, Light, Golden Age, Taste, The Horse, Silent in the Morning, Julius, A Day in the Life | e: Bouncing Around the Room, Run Like an Antelope",,,220,https://phish.net/setlists/phish-july-02-2016-saratoga-performing-arts-center-saratoga-springs-ny-usa.html
1454707145,2016-07-03,Phish,Saratoga Performing Arts Center,Saratoga Springs,NY,USA,2016 Summer Tour,"1: The Wedge, Heavy Things, Tube, Sugar Shack, Lawn Boy, Sparkle, Sample in a Jar, It's Ice, Guelah Papyrus, Ocelot, Scent of a Mule, Possum | 2: Soul Shakedown Party, The Moma Dance, Twist, Joy, Breath and Burning, Axilla, Theme From the Bottom, Harry Hood, Show of Life | e: Rock and Roll",,,220,https://phish.net/setlists/phish-july-03-2016-saratoga-performing-arts-center-saratoga-springs-ny-usa.html
1454707237,2016-07-06,Phish,Cross Insurance Arena,Portland,ME,USA,2016 Summer Tour,"1: Grind, Cars Trucks Buses, Blaze On, Yarmouth Road, Kill Devil Falls, The Sloth, Billy Breathes, My Friend, My Friend, Heavy Things, 555, Things People Do, The Line, Stash | 2: First Tube, Tweezer, Guyute, Mike's Song, Tide Turns, Devotion To a Dream, Wingsuit, Bittersweet Motel, Fluffhead, Weekapaug Groove | e: Contact, Tweezer Reprise",,,1368,https://phish.net/setlists/phish-july-06-2016-cross-insurance-arena-portland-me-usa.html
1454707270,2016-07-08,Phish,Xfinity Center,Mansfield,MA,USA,2016 Summer Tour,"1: Party Time, 46 Days, Poor Heart, The Dogs, Bathtub Gin, Fast Enough for You, How Many People Are You, Strange Design, Fuego, Cities, Space Oddity | 2: Ghost, Light, Wolfman's Brother, Chalk Dust Torture, Saw It Again, Back on the Train, Slave to the Traffic Light | e: I Am the Walrus",,,1306,https://phish.net/setlists/phish-july-08-2016-xfinity-center-mansfield-ma-usa.html
1454707481,2016-07-09,Phish,Xfinity Theatre,Hartford,CT,USA,2016 Summer Tour,"1: Pigtail, The Moma Dance, Birds of a Feather, Meat, Vultures, Free, Let Me Lie, Halley's Comet, Julius, You Enjoy Myself | 2: Down with Disease, Sand, Tela, Carini, Twenty Years Later, Run Like an Antelope, Backwards Down the Number Line | e: The Lizards, Loving Cup",,,1369,https://phish.net/setlists/phish-july-09-2016-xfinity-theatre-hartford-ct-usa.html
1454707616,2016-07-10,Phish,Lakeview Amphitheater,Syracuse,NY,USA,2016 Summer Tour,"1: The Landlady, Blaze On, Ha Ha Ha, Friends, Tube, Destiny Unbound, My Friend, My Friend, The Mango Song, Timber, Timber (Jerry the Mule), Timber, The Ballad of Curtis Loew, Stealing Time From the Faulty Plan, Mound, Winterqueen, Bold As Love | 2: Drowned, Twist, Waste, Piper, Simple, Breath and Burning, Rocky Top, Martian Monster, Golgi Apparatus, Frankenstein | e: Character Zero",,,1370,https://phish.net/setlists/phish-july-10-2016-lakeview-amphitheater-syracuse-ny-usa.html
1454708467,2016-07-15,Phish,Gorge Amphitheatre,George,WA,USA,2016 Summer Tour,"1: Tweezer, Sample in a Jar, The Old Home Place, Wolfman's Brother, Bouncing Around the Room, Undermind, Kill Devil Falls, Lawn Boy, Ass Handed, Party Time, The Line, Tide Turns, Rift, Walls of the Cave | 2: Crosseyed and Painless, What's the Use?, No Men In No Man's Land, Stash, Ghost, Chalk Dust Torture, Meatstick, Also Sprach Zarathustra, Cavern | e: Makisupa Policeman, Wilson, Good Times Bad Times",,,248,https://phish.net/setlists/phish-july-15-2016-gorge-amphitheatre-george-wa-usa.html
1454708511,2016-07-16,Phish,Gorge Amphitheatre,George,WA,USA,2016 Summer Tour,"1: Buried Alive, AC/DC Bag, The Moma Dance, Uncle Pen, 555, Sleep Again, It's Ice, Driver, Sand, Horn, Halfway to the Moon, Bathtub Gin | 2: Blaze On, Backwards Down the Number Line, Carini, Birds of a Feather, Wingsuit, Shade, Mike's Song, Farmhouse, Weekapaug Groove, Shine a Light | e: Hold Your Head Up, Love You, Hold Your Head Up, Harry Hood, Tweezer Reprise",,,248,https://phish.net/setlists/phish-july-16-2016-gorge-amphitheatre-george-wa-usa.html
1454708537,2016-07-18,Phish,Bill Graham Civic Auditorium,San Francisco,CA,USA,2016 Summer Tour,"1: Martian Monster, Halley's Comet, 46 Days, Sugar Shack, Roggae, Daniel Saw the Stone, Divided Sky, Ocelot, Ya Mar, Possum | 2: Golden Age, Twist, My Sweet One, The Line, Simple, Sneakin' Sally Through the Alley, Limb By Limb, Slave to the Traffic Light | e: When the Circus Comes, Run Like an Antelope",,,816,https://phish.net/setlists/phish-july-18-2016-bill-graham-civic-auditorium-san-francisco-ca-usa.html
1454708560,2016-07-19,Phish,Bill Graham Civic Auditorium,San Francisco,CA,USA,2016 Summer Tour,"1: Chalk Dust Torture, Free, Breath and Burning, Theme From the Bottom, Cities, Maze, Wombat, Split Open and Melt, Sparkle, A Song I Heard the Ocean Sing, Space Oddity | 2: Down with Disease, Fuego, Ghost, Scents and Subtle Sounds, Light, Manteca, No Quarter, Fluffhead | e: Bug, First Tube",,,816,https://phish.net/setlists/phish-july-19-2016-bill-graham-civic-auditorium-san-francisco-ca-usa.html
