show_id,date,artist_name,venue,city,state,country,tour_name,setlist,rating,reviews,venue_id,permalink
1658178049,2023-02-23,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2023 Mexico,"1: Harry Hood, The Moma Dance, Back on the Train, My Friend, My Friend, Sand, Sample in a Jar, Ya Mar, Roggae, Cars Trucks Buses, Blaze On, Twist, Bouncing Around the Room, Free | e: 46 Days",,,1481,https://phish.net/setlists/phish-february-23-2023-moon-palace-cancun-quintana-roo-mexico.html
1657127525,2023-02-24,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2023 Mexico,"1: Dinner and a Movie, Loving Cup, A Wave of Hope, Stash, Heavy Things, 555, Axilla (Part II), Joy, Split Open and Melt | 2: First Tube, Waves, Ruby Waves, Shade, Chalk Dust Torture, Bathtub Gin | e: Golgi Apparatus, Character Zero",,,1481,https://phish.net/setlists/phish-february-24-2023-moon-palace-cancun-quintana-roo-mexico.html
1657127550,2023-02-25,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2023 Mexico,"1: Gotta Jibboo, No Men In No Man's Land, Steam, Poor Heart, Halley's Comet, Saw It Again, Theme From the Bottom, Maze, About to Run, Most Events Aren't Planned | 2: Down with Disease, Golden Age, Soul Planet, Runaway Jim, Light, Piper, Also Sprach Zarathustra, Say It To Me S.A.N.T.O.S. | e: Fee, The Wedge",,,1481,https://phish.net/setlists/phish-february-25-2023-moon-palace-cancun-quintana-roo-mexico.html
1657127573,2023-02-26,Phish,Moon Palace,"Cancun, Quintana Roo",,Mexico,2023 Mexico,"1: Sigma Oasis, David Bowie, Wolfman's Brother, Tube, Prince Caspian, Mull, Ghost, The Squirming Coil | 2: Possum, Julius, You Enjoy Myself, Everything's Right, Simple, Backwards Down the Number Line, Suzy Greenberg | e: McGrupp and the Watchful Hosemasters, Waste, Slave to the Traffic Light",,,1481,https://phish.net/setlists/phish-february-26-2023-moon-palace-cancun-quintana-roo-mexico.html
1673378025,2023-04-14,Phish,Climate Pledge Arena,Seattle,WA,USA,2023 Spring Tour,"1: Blaze On, Plasma, Blaze On, Vultures, Sample in a Jar, Ya Mar, Steam, My Friend, My Friend, Walls of the Cave, Ghost | 2: A Wave of Hope, Bouncing Around the Room, No Men In No Man's Land, Golden Age, Martian Monster, The Wedge, Bug, Back on the Train | e: Fluffhead",,,1570,https://phish.net/setlists/phish-april-14-2023-climate-pledge-arena-seattle-wa-usa.html
1673378049,2023-04-15,Phish,Climate Pledge Arena,Seattle,WA,USA,2023 Spring Tour,"1: Axilla (Part II), The Moma Dance, Wolfman's Brother, Izabella, Leaves, Reba, Chalk Dust Torture | 2: Free, Ruby Waves, Prince Caspian, Piper, When the Circus Comes, Tube, Wading in the Velvet Sea, Harry Hood | e: Train Song, Brian and Robert, Say It To Me S.A.N.T.O.S.",,,1570,https://phish.net/setlists/phish-april-15-2023-climate-pledge-arena-seattle-wa-usa.html
1673378127,2023-04-17,Phish,"William Randolph Hearst Greek Theatre, University of California, Berkeley ",Berkeley,CA,USA,2023 Spring Tour,"1: The Curtain With, Carini, All of These Dreams, Stash, Halfway to the Moon, Mull, Undermind, Theme From the Bottom | 2: My Soul, Tweezer, Simple, Rock and Roll | e: Miss You, Sand",,,372,https://phish.net/setlists/phish-april-17-2023-william-randolph-hearst-greek-theatre-university-of-california-berkeley-berkeley-ca-usa.html
1673378173,2023-04-18,Phish,"William Randolph Hearst Greek Theatre, University of California, Berkeley ",Berkeley,CA,USA,2023 Spring Tour,"1: Olivia's Pool, Seven Below, Maze, Mountains in the Mist, Bathtub Gin, 555, Possum | 2: Don't Doubt Me, Kill Devil Falls, Fuego, Light, Lonely Trip, The Howling, Farmhouse, Backwards Down the Number Line | e: Character Zero",,,372,https://phish.net/setlists/phish-april-18-2023-william-randolph-hearst-greek-theatre-university-of-california-berkeley-berkeley-ca-usa.html
1673378216,2023-04-19,Phish,"William Randolph Hearst Greek Theatre, University of California, Berkeley ",Berkeley,CA,USA,2023 Spring Tour,"1: I Never Needed You Like This Before, AC/DC Bag, Rift, Runaway Jim, Lawn Boy, Halley's Comet, Timber (Jerry the Mule), Winterqueen, 46 Days | 2: Mike's Song, Beneath a Sea of Stars Part 1, Weekapaug Groove, Cool It Down, Set Your Soul Free, What's the Use?, Loving Cup | e: Waste, Tweezer Reprise",,,372,https://phish.net/setlists/phish-april-19-2023-william-randolph-hearst-greek-theatre-university-of-california-berkeley-berkeley-ca-usa.html
1673378276,2023-04-21,Phish,Hollywood Bowl,Hollywood,CA,USA,2023 Spring Tour,"1: The Moma Dance, Little Crazy Too, Sigma Oasis, Nobody Finer, Party Time, Ain't No More Caine, Strawberry Letter 23, Franklin's Tower, Everything's Right, Dancin' Plague, Shade, Space, Funky Bitch, Automatic Pilot, A Wave of Hope, Promised Land, Suzy Drew, In Case You Didn't Know | 2: Sample in a Jar, Down with Disease, Mercury, Can't Always Listen, Blaze On, Downtown, You Enjoy Myself, Lesser Charge, Cavern, Fluffhead, Show of Life | e: Drift While You're Sleeping",,,959,https://phish.net/setlists/phish-april-21-2023-hollywood-bowl-hollywood-ca-usa-2.html
